Iteration: 45300, Eval Loss: 1.8978525400161743
Iteration: 45400, Eval Loss: 1.9057891368865967
Iteration: 45500, Eval Loss: 1.8744981288909912
Iteration: 45600, Eval Loss: 1.8653998374938965
Iteration: 45700, Eval Loss: 1.8644163608551025
Iteration: 45800, Eval Loss: 1.888237714767456
Iteration: 45900, Eval Loss: 1.8763319253921509
Iteration: 46000, Eval Loss: 1.9020112752914429
Iteration: 46100, Eval Loss: 1.8732119798660278
Iteration: 46200, Eval Loss: 1.878298282623291
Iteration: 46300, Eval Loss: 1.8542540073394775
Iteration: 46400, Eval Loss: 1.8810133934020996
Iteration: 46500, Eval Loss: 1.862064242362976
Iteration: 46600, Eval Loss: 1.8382835388183594
Iteration: 46700, Eval Loss: 1.8694993257522583
Iteration: 46800, Eval Loss: 1.8551377058029175
Iteration: 46900, Eval Loss: 1.8990410566329956
Iteration: 47000, Eval Loss: 1.873099446296692
Iteration: 47100, Eval Loss: 1.8375824689865112
Iteration: 47200, Eval Loss: 1.9047951698303223
Iteration: 47300, Eval Loss: 1.884863018989563
Iteration: 47400, Eval Loss: 1.8725751638412476
Iteration: 47500, Eval Loss: 1.8830095529556274
Iteration: 47600, Eval Loss: 1.8532476425170898
Iteration: 47700, Eval Loss: 1.883273959159851
Iteration: 47800, Eval Loss: 1.878035068511963
Iteration: 47900, Eval Loss: 1.8869545459747314
Iteration: 48000, Eval Loss: 1.8410308361053467
Iteration: 48100, Eval Loss: 1.8747402429580688
Iteration: 48200, Eval Loss: 1.8876556158065796
Iteration: 48300, Eval Loss: 1.83222496509552
Iteration: 48400, Eval Loss: 1.9105191230773926
Iteration: 48500, Eval Loss: 1.8777081966400146
Iteration: 48600, Eval Loss: 1.8583966493606567
Iteration: 48700, Eval Loss: 1.8386943340301514
Iteration: 48800, Eval Loss: 1.856031894683838
Iteration: 48900, Eval Loss: 1.8932230472564697
Iteration: 49000, Eval Loss: 1.8765746355056763
Iteration: 49100, Eval Loss: 1.87630033493042
Iteration: 49200, Eval Loss: 1.8390001058578491
Iteration: 49300, Eval Loss: 1.8433974981307983
Iteration: 49400, Eval Loss: 1.8241454362869263
Iteration: 49500, Eval Loss: 1.8521811962127686
Iteration: 49600, Eval Loss: 1.858473300933838
Iteration: 49700, Eval Loss: 1.8829200267791748
Iteration: 49800, Eval Loss: 1.8683313131332397
Iteration: 49900, Eval Loss: 1.885144591331482
Iteration: 50000, Eval Loss: 1.8787412643432617
Iteration: 50100, Eval Loss: 1.8308659791946411
Iteration: 50200, Eval Loss: 1.8480470180511475
Iteration: 50300, Eval Loss: 1.8210068941116333
Iteration: 50400, Eval Loss: 1.8423702716827393
Iteration: 50500, Eval Loss: 1.8468891382217407
Iteration: 50600, Eval Loss: 1.843412160873413
Iteration: 50700, Eval Loss: 1.8298171758651733
Iteration: 50800, Eval Loss: 1.903764247894287
Iteration: 50900, Eval Loss: 1.8538068532943726
Iteration: 51000, Eval Loss: 1.8507670164108276
Iteration: 51100, Eval Loss: 1.868272304534912
Iteration: 51200, Eval Loss: 1.8724753856658936
Iteration: 51300, Eval Loss: 1.8748977184295654
Iteration: 51400, Eval Loss: 1.8529719114303589
Iteration: 51500, Eval Loss: 1.908879041671753
Iteration: 51600, Eval Loss: 1.8767054080963135
Iteration: 51700, Eval Loss: 1.8664100170135498
Iteration: 51800, Eval Loss: 1.8907793760299683
Iteration: 51900, Eval Loss: 1.8908876180648804
Iteration: 52000, Eval Loss: 1.8563445806503296
Iteration: 52100, Eval Loss: 1.8830358982086182
Iteration: 52200, Eval Loss: 1.8339853286743164
Iteration: 52300, Eval Loss: 1.8871140480041504
Iteration: 52400, Eval Loss: 1.7944785356521606
Iteration: 52500, Eval Loss: 1.8038991689682007
Iteration: 52600, Eval Loss: 1.850866675376892
Iteration: 52700, Eval Loss: 1.8418623208999634
Iteration: 52800, Eval Loss: 1.863670825958252
Iteration: 52900, Eval Loss: 1.9085437059402466
Iteration: 53000, Eval Loss: 1.8408398628234863
Iteration: 53100, Eval Loss: 1.8393782377243042
Iteration: 53200, Eval Loss: 1.8164422512054443
Iteration: 53300, Eval Loss: 1.8707600831985474
Iteration: 53400, Eval Loss: 1.8615849018096924
Iteration: 53500, Eval Loss: 1.8281769752502441
Iteration: 53600, Eval Loss: 1.8259751796722412
Iteration: 53700, Eval Loss: 1.8787559270858765
Iteration: 53800, Eval Loss: 1.8897302150726318
Iteration: 53900, Eval Loss: 1.8410671949386597
Iteration: 54000, Eval Loss: 1.8378466367721558
Iteration: 54100, Eval Loss: 1.8734976053237915
Iteration: 54200, Eval Loss: 1.8210331201553345
Iteration: 54300, Eval Loss: 1.8470722436904907
Iteration: 54400, Eval Loss: 1.8197823762893677
